상품명,적립 포인트,매장명,상품명_mod
 순샘 내추럴효소 3.1kg 용기,1510, 애경산업, 순샘 내추럴효소  용기
 순샘 베이킹소다x피톤치드향 3kg 용기,1510, 애경산업, 순샘 베이킹소다피톤치드향  용기
 순샘 베이킹소다x피톤치드향 1.4L 리필,1030, 애경산업, 순샘 베이킹소다피톤치드향  리필
 트리오 항균설거지 피톤치드 750ml 용기,490, 애경산업, 트리오 항균설거지 피톤치드  용기
 트리오 곡물설거지 우리현미 1.2L 파우치,970, 애경산업, 트리오 곡물설거지 우리현미  파우치
 트리오 곡물 우리밀 주방세제 리필_1.2L,970, 애경산업, 트리오 곡물 우리밀 주방세제 리필
 트리오 발효식초 담은 친환경 주방세제 사과향 3L,1180, 애경산업, 트리오 발효식초 담은 친환경 주방세제 사과향 
 트리오 발효식초 담은 친환경 주방세제 사과향 1.2L,970, 애경산업, 트리오 발효식초 담은 친환경 주방세제 사과향 
 트리오 발효식초 담은 친환경 주방세제 사과향 680ml,520, 애경산업, 트리오 발효식초 담은 친환경 주방세제 사과향 
 트리오 베이킹소다 담은 친환경 주방세제 라임향 3L,1180, 애경산업, 트리오 베이킹소다 담은 친환경 주방세제 라임향 
 트리오 베이킹소다 담은 친환경 주방세제 라임향 1.2L,970, 애경산업, 트리오 베이킹소다 담은 친환경 주방세제 라임향 
 트리오 베이킹소다 담은 친환경 주방세제 라임향 680ml,520, 애경산업, 트리오 베이킹소다 담은 친환경 주방세제 라임향 
 랩신 키친케어 항균주방세제 라임향 1L 파우치,900, 애경산업, 랩신 키친케어 항균주방세제 라임향  파우치
 랩신 키친케어 항균주방세제 레몬향 1L 파우치,900, 애경산업, 랩신 키친케어 항균주방세제 레몬향  파우치
 순샘 알로에베라 4.08 L,1330, 애경산업, 순샘 알로에베라  
 순샘 뽀독 주방세제 750ML(시트러스),600, 애경산업, 순샘 뽀독 주방세제 
 순샘 뽀독 주방세제 750ML(무향),600, 애경산업, 순샘 뽀독 주방세제 
 순샘 뽀독 주방세제 1L(시트러스),450, 애경산업, 순샘 뽀독 주방세제 
 순샘 뽀독 주방세제 1L(무향),450, 애경산업, 순샘 뽀독 주방세제 
 순샘베이킹/블루주방세제_2L,810, 애경산업, 순샘베이킹블루주방세제
 종가집 국산 유기농 떡국떡400g,170, 이마트, 종가집 국산 유기농 떡국떡
 종가집 유기농 썰은백김치 400g,420, 이마트, 종가집 유기농 썰은백김치 
 유기농다진마늘(140g),220, 이마트, 유기농다진마늘
 샘표 유기농 자연콩간장 930ml,480, 이마트, 샘표 유기농 자연콩간장 
 피코크 유기농 스퀴즈 포도[980ml],600, 웰팜, 피코크 유기농 스퀴즈 포도
 피코크 유기농 스퀴즈 오렌지[980ml],600, 웰팜, 피코크 유기농 스퀴즈 오렌지
 갓짜낸 무농약 제주감귤로 만든주스 980ml,490, 이마트, 갓짜낸 무농약 제주감귤로 만든주스 
 [부자재]유기농 오렌지&포도 착즙음료친환경 세트,1250, 올가홀푸드, 유기농 오렌지포도 착즙음료친환경 세트
 5키즈 100유기농 포도주스(5입),260, 이마트, 키즈 유기농 포도주스
 5채5과100유기농과일야채100ml*4입,290, 이마트, 채과유기농과일야채입
 5키즈 유기농과일야채,260, 이마트, 키즈 유기농과일야채
 5키즈100유기농망고오렌지100ml*5,260, 이마트, 키즈유기농망고오렌지
 5 100 유기농 딸기그레이프 100ml*4,340, 이마트,   유기농 딸기그레이프 
 수수(500g/무농약),460, 두레생협, 수수
 조림감자(1kg/무농약),230, 두레생협, 조림감자
 쪽파(300g/무농약),150, 두레생협, 쪽파
 무농약 금귤(500g),280, 두레생협, 무농약 금귤
 무농약 한라봉(1kg),540, 두레생협, 무농약 한라봉
 한라봉선물세트,2050, 두레생협, 한라봉선물세트
 이코스피어 주방세제,4260, 뉴스킨코리아, 이코스피어 주방세제
 이코스피어 섬유유연제,3390, 뉴스킨코리아, 이코스피어 섬유유연제
 무농약양파즙 100ml*14입,910, 이마트, 무농약양파즙 입
 유기농 타트체리착즙주스 980ml,840, 이마트, 유기농 타트체리착즙주스 
 유기농 발효 ABC주스 980ml,690, 이마트, 유기농 발효 주스 
 무농약]깐녹두500g,650, 올가홀푸드, 무농약깐녹두
 유기농]안성백미4kg-구,1070, 올가홀푸드, 유기농안성백미구
 유기농]현미가득4kg,1150, 올가홀푸드, 유기농현미가득
 유기농]쌀과잡곡의만남2kg,640, 올가홀푸드, 유기농쌀과잡곡의만남
 현미(유기농/2kg),560, 올가홀푸드, 현미
 [친환경]유기농 백미 2kg,490, 올가홀푸드, 유기농 백미 
 현미찹쌀(유기농/2kg),660, 올가홀푸드, 현미찹쌀
 유기농]서리태500g,490, 올가홀푸드, 유기농서리태
 검정깨(무농약/300g),1090, 올가홀푸드, 검정깨
 찰수수(무농약/500g),590, 올가홀푸드, 찰수수
 올가 율무(무농약/500g),790, 올가홀푸드, 올가 율무
 무농약이상_애호박,170, 초록마을, 무농약이상애호박
 두레황매실(유기/대/5kg),1700, 두레생협, 두레황매실
 포기로메인(200g/무농약),70, 두레생협, 포기로메인
 한끼 통밀쌀(40g*25포/유기),350, 두레생협, 한끼 통밀쌀
 포기생채(200g/무농약),120, 두레생협, 포기생채
 감자(1kg/무농약),150, 두레생협, 감자
 참죽나무순(2kg/유기),3750, 두레생협, 참죽나무순
 두레 해찬사과(3kg),2580, 두레생협, 두레 해찬사과
 무화과(500g/무농약/해남),400, 두레생협, 무화과
 여주말림(50g/무농약),250, 두레생협, 여주말림
 되호박(1개/유기),90, 두레생협, 되호박
 여주(2개/무농약),200, 두레생협, 여주
 쥐눈이콩(500g/유기),620, 두레생협, 쥐눈이콩
 애호박(5개/무농약/급식),470, 두레생협, 애호박
 양상추(200g/무농약),140, 두레생협, 양상추
 친환경 쌈배추(500g),140, 두레생협, 친환경 쌈배추
 풋고추(2kg/무농약),760, 두레생협, 풋고추
 실속감자(5kg/무농약),950, 두레생협, 실속감자
 음나무(200g/유기),180, 두레생협, 음나무
 파프리카(150g/무농약),180, 두레생협, 파프리카
 무농약 콩나물(봉),90, 이마트, 무농약 콩나물
 무농약 숙주나물(봉),120, 이마트, 무농약 숙주나물
 농약없이 재배한 무농약 부럼호두 180g,640, 이마트, 농약없이 재배한 무농약 부럼호두 
 무농약호두와 땅콩이 들어간 부럼세트 200g,440, 이마트, 무농약호두와 땅콩이 들어간 부럼세트 
 무농약 찰수수쌀500g,440, 이마트, 무농약 찰수수쌀
 무농약 볶은 피땅콩 300g,340, 올가니카, 무농약 볶은 피땅콩 
 슈퍼퐁A(SJ-SA) 13kg (용기형),2790, 삼진그린푸드, 슈퍼퐁  
 베지터블 친환경 포크,2170, 홈케어, 베지터블 친환경 포크
 베지터블 친환경 스푼포크,2170, 홈케어, 베지터블 친환경 스푼포크
 대파(친환경/파채)120g/팩/특/특품,80, 과천농협(판매), 대파팩특특품
 가시오가피(200g/유기),160, 두레생협, 가시오가피
 차조(500g/유기),790, 두레생협, 차조
 무농약 우리농가수 청결참기름,1240, 이마트, 무농약 우리농가수 청결참기름
 우리농가수무농약들기름270ml,1520, 이마트, 우리농가수무농약들기름
 우리농가수무농약들기름160ml,900, 이마트, 우리농가수무농약들기름
 기장(500g/무농약),610, 두레생협, 기장
 베이비채소혼합,120, 하나로마트, 베이비채소혼합
 베이비혼합,450, 하나로마트, 베이비혼합
 베이비모듬,230, 하나로마트, 베이비모듬
 냉동다진애호박(60g/유기),200, 두레생협, 냉동다진애호박
 냉동다진적양배추(60g/유기),160, 두레생협, 냉동다진적양배추
 냉동다진콜리플라워(60g/유기),190, 두레생협, 냉동다진콜리플라워
 냉동다진표고버섯(60g/유기),190, 두레생협, 냉동다진표고버섯
 냉동다진양배추(60g/유기),100, 두레생협, 냉동다진양배추
 냉동다진브로콜리(60g/유기),130, 두레생협, 냉동다진브로콜리
 냉동다진당근(60g/유기),110, 두레생협, 냉동다진당근
 친환경종이접시 260파이,2780, 삼풍종합물산, 친환경종이접시 파이
 친환경종이접시 200파이,2240, 삼풍종합물산, 친환경종이접시 파이
 유기농 고시히카리 3kg,740, 이마트, 유기농 고시히카리 
 무농약 율무쌀 400g,490, 이마트, 무농약 율무쌀 
 무농약 차좁쌀 450g,440, 이마트, 무농약 차좁쌀 
 무농약 찰수수쌀 450g,440, 이마트, 무농약 찰수수쌀 
 무농약 찰기장쌀 450g,590, 이마트, 무농약 찰기장쌀 
 유기농 신동진쌀4kg,1090, 이마트, 유기농 신동진쌀
 유기농 찰현미1.5kg,490, 이마트, 유기농 찰현미
 유기농 찹쌀1.5kg,490, 이마트, 유기농 찹쌀
 무농약 현미3kg,840, 이마트, 무농약 현미
 무농약 찰현미3kg,940, 이마트, 무농약 찰현미
 유기농 찹쌀2kg,640, 이마트, 유기농 찹쌀
 유기농현미 3kg,840, 이마트, 유기농현미 
 유기농찰현미 1kg,390, 이마트, 유기농찰현미 
 무농약이상_홍고추,170, 초록마을, 무농약이상홍고추
 건양 유기농 물레방아쌀5kg,990, 이마트, 건양 유기농 물레방아쌀
 무농약 물레방아쌀10kg,2340, 이마트, 무농약 물레방아쌀
 무농약 물레방아쌀5kg,1090, 이마트, 무농약 물레방아쌀
 친환경 조각 컬리플라워 300g,340, 올가홀푸드, 친환경 조각 컬리플라워 
 유기농 치킨스톡 140g(14g*10),470, 올가홀푸드, 유기농 치킨스톡 
 순하게 무첨가 세안용 물비누(150ml),1950, (유)강청, 순하게 무첨가 세안용 물비누
 피코크 씨솔트카라멜&크림치즈 팝콘 [120g],90, 제이앤이, 피코크 씨솔트카라멜크림치즈 팝콘 
 피코크 스윗&솔트 팝콘 [450g],340, 제이앤이, 피코크 스윗솔트 팝콘 
 피코크 스키니 팝콘 [18g],30, 제이앤이, 피코크 스키니 팝콘 
 피코크 스윗&솔트 팝콘 [140g],90, 제이앤이, 피코크 스윗솔트 팝콘 
 자연주의 유기농 쌀 뻥튀기,140, 이마트, 자연주의 유기농 쌀 뻥튀기
 자연주의 유기농 고소한 콘푸레이크,390, 이마트, 자연주의 유기농 고소한 콘푸레이크
 자연주의 유기농 코코아볼,390, 이마트, 자연주의 유기농 코코아볼
 지구대장 순수유기농현미과자 30g,140, 올가홀푸드, 지구대장 순수유기농현미과자 
 유기농 아몬드 콘푸레이크 300g,340, 올가홀푸드, 유기농 아몬드 콘푸레이크 
 톨스토리 유기농 콘프레이크,330, 이마트, 톨스토리 유기농 콘프레이크
 유기농 통곡물 블랙푸레이크300g,340, 올가홀푸드, 유기농 통곡물 블랙푸레이크
 유기농 사계절 후르츠 푸레이크 230g,290, 올가홀푸드, 유기농 사계절 후르츠 푸레이크 
 아침마루유기농백미-10kg,2700, 한반도농업협동조합(판매), 아침마루유기농백미
 한반도 유기농 백미 4kg,1120, 한반도농업협동조합(판매), 한반도 유기농 백미 
 무농약찹쌀 2kg,640, 이마트, 무농약찹쌀 
 양채류-쌈채,10, 로컬푸드 직매장, 양채류쌈채
 약용작물류-망초,10, 로컬푸드 직매장, 약용작물류망초
 약용작물류-대마,10, 로컬푸드 직매장, 약용작물류대마
 약용작물류-초석잠,10, 로컬푸드 직매장, 약용작물류초석잠
 약용작물류-헛개나무,10, 로컬푸드 직매장, 약용작물류헛개나무
 약용작물류-저근백피,10, 로컬푸드 직매장, 약용작물류저근백피
 약용작물류-인삼,10, 로컬푸드 직매장, 약용작물류인삼
 약용작물류-울금,10, 로컬푸드 직매장, 약용작물류울금
 약용작물류-선인장,10, 로컬푸드 직매장, 약용작물류선인장
 약용작물류-백합,10, 로컬푸드 직매장, 약용작물류백합
 메론(무농약)/1입/통/특,360, 하나로마트, 메론입통특
 토마토(친환경)/3kg/박스/특/건강과일,420, 하나로마트, 토마토박스특건강과일
 흑토마토(유기농)1kg/팩/특,360, 하나로마트, 흑토마토팩특
 대추방울토마토(무농약)/1kg/팩/특,250, 이마트/ 하나로마트, 대추방울토마토팩특
 노랑대추방울토마토(친환경)/1.5kg/박스/특,460, 하나로마트, 노랑대추방울토마토박스특
 사과(저탄소/데일리)/2.5kg/박스/특,2240, 하나로마트, 사과박스특
 딱딱한복숭아(저탄소/3kg/10내/국산),4190, 하나로마트, 딱딱한복숭아
 꽃이피는아침 주방세제 500g,600, 자연과함께, 꽃이피는아침 주방세제 
 우리아이입안애유기농쌀,470, 초록마을, 우리아이입안애유기농쌀
 무농약이상_세발나물200g,120, 초록마을, 무농약이상세발나물
 무농약이상_청양고추,110, 초록마을, 무농약이상청양고추
 무농약이상_풋고추,130, 초록마을, 무농약이상풋고추
 무농약이상_오이,190, 초록마을, 무농약이상오이
 유기농녹즙신선초,190, 초록마을, 유기농녹즙신선초
 유기농녹즙케일,190, 초록마을, 유기농녹즙케일
 유기농명품혼합과일세트,5450, 초록마을, 유기농명품혼합과일세트
 무농약이상_양배추,160, 초록마을, 무농약이상양배추
 무농약이상_통우엉,340, 초록마을, 무농약이상통우엉
 무농약이상_유채나물(하루나),90, 초록마을, 무농약이상유채나물
 무농약이상_남해초,190, 초록마을, 무농약이상남해초
 유기농 잣,1490, 이마트, 유기농 잣
 무농약 국산조각호두,740, 이마트, 무농약 국산조각호두
 무농약 잣,890, 이마트, 무농약 잣
 잣호두 선물세트2호,6470, 두레생협, 잣호두 선물세트호
 (햇)씨째먹는 건포도(130g/무농약),680, 두레생협, 씨째먹는 건포도
 볶은 해바라기씨(170g/무농약),800, 두레생협, 볶은 해바라기씨
 저탄소인증 부드러운복숭아(5~6입/팩),2070, 이마트, 저탄소인증 부드러운복숭아
 친환경 메론(2입/소과/봉),640, 이마트, 친환경 메론
 친환경 대추방울토마토(1kg/팩),240, 이마트, 친환경 대추방울토마토
 친환경 부추(봉),140, 이마트, 친환경 부추
 친환경 감자 2kg/박스,590, 이마트, 친환경 감자 박스
 친환경백오이 2입,120, 이마트, 친환경백오이 입
 유기농 화이트 아스파라거스,290, 이마트, 유기농 화이트 아스파라거스
 무농약 파프리카(1입),140, 이마트, 무농약 파프리카
 친환경양배추(조각),170, 이마트, 친환경양배추
 행복 채소(풋고추/150g),60, 두레생협, 행복 채소
 [친환경]친환경 제주 블루베리(유기농/280g),440, 올가홀푸드, 친환경 제주 블루베리
 뿌리또 친환경 이중 지퍼백 15매 25*30CM,340, 래딕스글로비즈, 뿌리또 친환경 이중 지퍼백 매 
 뿌리또 친환경 이중 지퍼백 15매 18*20CM,230, 래딕스글로비즈, 뿌리또 친환경 이중 지퍼백 매 
 뿌리또 친환경 종이컵 184ml 1000p,2380, 래딕스글로비즈, 뿌리또 친환경 종이컵  
 뿌리또 친환경 종이컵 340ml 10개입,150, 래딕스글로비즈, 뿌리또 친환경 종이컵  개입
 뿌리또 친환경 종이컵 184ml 25개입,130, 래딕스글로비즈, 뿌리또 친환경 종이컵  개입
 뿌리또 친환경 종이호일 30cm*20m,530, 래딕스글로비즈, 뿌리또 친환경 종이호일 
 뿌리또 친환경 위생장갑 100매,370, 래딕스글로비즈, 뿌리또 친환경 위생장갑 매
 뿌리또 친환경 위생백 100BAGS 30X45CM,420, 래딕스글로비즈, 뿌리또 친환경 위생백  
 뿌리또 친환경 위생백 100BAGS 25X35CM,300, 래딕스글로비즈, 뿌리또 친환경 위생백  
 뿌리또 친환경 위생백 100BAGS 17X25CM,200, 래딕스글로비즈, 뿌리또 친환경 위생백  
 뿌리또 친환경 랩 30cm * 50m,530, 래딕스글로비즈, 뿌리또 친환경 랩   
 뿌리또 친환경 랩 20cm * 50m,430, 래딕스글로비즈, 뿌리또 친환경 랩   
 데코 점보롤 500M 1겹,1770, 한아름산업, 데코 점보롤  겹
 유기농콩으로키운콩나물,90, 초록마을, 유기농콩으로키운콩나물
 무농약숙주나물,120, 초록마을, 무농약숙주나물
 한눈에 반한 딸기(무농약이상/900g),840, 올가홀푸드, 한눈에 반한 딸기
 [친환경]햇수미감자(친환경/3kg),640, 올가홀푸드, 햇수미감자
 딸기(무농약/480g),590, 올가홀푸드, 딸기
 샘표 유기농 자연콩간장 500ml,280, 이마트, 샘표 유기농 자연콩간장 
 친환경 제주 레몬(무농약/3입),490, 올가홀푸드, 친환경 제주 레몬
 유기농 친환경 사과식초 허니 500ml,600, 올가홀푸드, 유기농 친환경 사과식초 허니 
 그린앤블랙 유기농코코아 125g,470, 올가홀푸드, 그린앤블랙 유기농코코아 
 유기농 티딩 비스킷,420, 올가홀푸드, 유기농 티딩 비스킷
 유기찰수수(미숫가루)1kg,410, 올가홀푸드, 유기찰수수
 유기백태(미숫가루)1kg,350, 올가홀푸드, 유기백태
 맛타리100g(무농약),40, 올가홀푸드, 맛타리
 새송이100g(무농약),60, 올가홀푸드, 새송이
 저탄소인증 햇사과(4-6입/봉),1790, 이마트, 저탄소인증 햇사과
 유기농 제스프리 썬골드키위(팩),470, 이마트, 유기농 제스프리 썬골드키위
 무농약 단호박(통),190, 이마트, 무농약 단호박
 무농약 깐양파,140, 이마트, 무농약 깐양파
 저탄소인증 신비복숭아 (5~6입),1040, 이마트, 저탄소인증 신비복숭아 
 저탄소인증 신비복숭아(5~6입/팩),1040, 이마트, 저탄소인증 신비복숭아
 저탄소인증 사과(특/2입팩),1620, 이마트, 저탄소인증 사과
 저탄소인증 천도복숭아(오월도/팩),1490, 이마트, 저탄소인증 천도복숭아
 저탄소인증 국산체리(팩),1190, 이마트, 저탄소인증 국산체리
 무농약 초당옥수수 (2입),240, 이마트, 무농약 초당옥수수 
 저탄소인증 당도선별 성주참외(봉),1480, 이마트, 저탄소인증 당도선별 성주참외
 저탄소인증 대소꿀수박(9kg),3280, 이마트, 저탄소인증 대소꿀수박
 저탄소인증 대소꿀수박(8kg),3130, 이마트, 저탄소인증 대소꿀수박
 저탄소인증 대소꿀수박(7kg),2980, 이마트, 저탄소인증 대소꿀수박
 유기농 듬뿍 담은 표고버섯,290, 이마트, 유기농 듬뿍 담은 표고버섯
 저탄소인증 마음이 예쁜 성주참외(봉),1630, 이마트, 저탄소인증 마음이 예쁜 성주참외
 유기농 명이나물,140, 이마트, 유기농 명이나물
 친환경 한끼 양파 (2입),90, 이마트, 친환경 한끼 양파 
 저탄소인증 천혜향(4입/팩),1410, 이마트, 저탄소인증 천혜향
 유기농순작보리차300g(티백),140, 이마트, 유기농순작보리차
 유기순작보리차500g(알곡),110, 이마트, 유기순작보리차
 유기 순작 첫 보리차160g(티백),120, 이마트, 유기 순작 첫 보리차
 기장(무농약/500g),600, 올가홀푸드, 기장
 토미 점보롤 300m,300, 동방제지, 토미 점보롤 
 토미 페이퍼타올 100매,90, 동방제지, 토미 페이퍼타올 매
 토미 점보롤 500m,360, 동방제지, 토미 점보롤 
 찹쌀백미(2kg/유기/햇살처럼아이처럼),570, 두레생협, 찹쌀백미
 가지(2입/무농약),150, 두레생협, 가지
 쑥소쿰 세탁세제 일반/드럼겸용 1.6 L 리필,450, 네이처홀드, 쑥소쿰 세탁세제 일반드럼겸용   리필
 쑥소쿰 세탁세제 일반/드럼겸용 1.8 L 용기,780, 네이처홀드, 쑥소쿰 세탁세제 일반드럼겸용   용기
 쑥소쿰 주방세제 1.2 L 리필,370, 네이처홀드, 쑥소쿰 주방세제   리필
 쑥소쿰 주방세제 750 mL용기,670, 네이처홀드, 쑥소쿰 주방세제  용기
 뉴질랜드 골드키위(유기농/4~5입),490, 올가홀푸드, 뉴질랜드 골드키위
 뉴질랜드 그린키위(유기농/4~5입),340, 올가홀푸드, 뉴질랜드 그린키위
 유기농 대왕님표진상쌀4kg,1190, 이마트, 유기농 대왕님표진상쌀
 순 유기농 바나나(2입/봉),60, 이마트, 순 유기농 바나나
 순 유기농 바나나(봉),240, 이마트, 순 유기농 바나나
 베베숲 네이처 제로[70매/ 캡],120, 에이제이, 베베숲 네이처 제로
 베베숲 네이처 골드[60매/ 캡],120, 에이제이, 베베숲 네이처 골드
 베베숲 네이처 센시티브[70매/ 캡],120, 에이제이, 베베숲 네이처 센시티브
 냉동 유기농 다진당근 100g,160, 이마트, 냉동 유기농 다진당근 
 알로에(친환경/베라)1개/랩/특/특품,110, 하나로마트, 알로에개랩특특품
 사과(저탄소)5kg/18내/특/비닐창/국산,4090, 하나로마트, 사과내특비닐창국산
 사과(저탄소)/3입/팩/특/국산,1480, 하나로마트, 사과입팩특국산
 배(저탄소)/7.5kg/10내/박스/특,8580, 하나로마트, 배내박스특
 배(저탄소)/3입/팩/특,1670, 하나로마트, 배입팩특
 배(저탄소)/7.5kg/12내/박스/특,7800, 하나로마트, 배내박스특
 혼합세트1호(저탄소)/배6사과7/박스/특,9360, 하나로마트, 혼합세트호배사과박스특
 블루베리(친환경/블루베리)/350g/특/팩,640, 하나로마트, 블루베리특팩
 포도(무농약/켐벨)/2~3입/팩/특/국산,290, 하나로마트, 포도입팩특국산
 블루베리(친환경/블루베리)/500g/특/13,560, 하나로마트, 블루베리특
 사과(친환경)/3kg/15내/박스/국산,510, 하나로마트, 사과내박스국산
 배(유기농)/15kg/20내/특,5940, 하나로마트, 배내특
 건오미자(200g/무농약),1110, 두레생협, 건오미자
 무농약이상_상추,120, 초록마을, 무농약이상상추
 무농약이상_쑥갓,110, 초록마을, 무농약이상쑥갓
 무농약이상_청경채,100, 초록마을, 무농약이상청경채
 무농약쑥,240, 초록마을, 무농약쑥
 수승대무농약우렁이쌀(10kg),1900, 이마트, 수승대무농약우렁이쌀
 수승대무농약우렁이쌀(4kg),1090, 이마트, 수승대무농약우렁이쌀
 무농약 꿀밤 군고구마 말랭이5입 325g,890, 이마트, 무농약 꿀밤 군고구마 말랭이입 
 무농약 호박 군고구마 말랭이5입 325g,890, 이마트, 무농약 호박 군고구마 말랭이입 
 무농약 쌀로 만든 고구마 누룽지 바삭해칩,220, 이마트, 무농약 쌀로 만든 고구마 누룽지 바삭해칩
 무농약 쌀로 만든 현미 누룽지 바삭해칩,220, 이마트, 무농약 쌀로 만든 현미 누룽지 바삭해칩
 무농약 쌀로 만든 감자 누룽지 바삭해칩,220, 이마트, 무농약 쌀로 만든 감자 누룽지 바삭해칩
 무농약 호박 군고구마 말랭이 65g,190, 이마트, 무농약 호박 군고구마 말랭이 
 무농약 꿀밤 군고구마 말랭이 65g,190, 이마트, 무농약 꿀밤 군고구마 말랭이 
 두레 가을배(2kg),1650, 두레생협, 두레 가을배
 생곤드레나물(200g/무농약),80, 두레생협, 생곤드레나물
 못난이 생유자(3kg/무농약),830, 두레생협, 못난이 생유자
 수수(500g/유기),620, 두레생협, 수수
 두레 배1호,9460, 두레생협, 두레 배호
 머스크메론 선물세트 2호,3000, 두레생협, 머스크메론 선물세트 호
 토마토(1kg/무농약),320, 두레생협, 토마토
 한입밤고구마(1kg/무농약),180, 두레생협, 한입밤고구마
 무농약 천혜향(1kg),570, 두레생협, 무농약 천혜향
 친환경 귤(2kg),410, 두레생협, 친환경 귤
 팽이버섯(450g/무농약),110, 두레생협, 팽이버섯
 팽이버섯(150g/무농약),40, 두레생협, 팽이버섯
 건구기자(300g/무농약),1810, 두레생협, 건구기자
 사과(3개/제수용),1530, 두레생협, 사과
 아이스블루베리(1kg/유기),1390, 두레생협, 아이스블루베리
 밤고구마(1kg/무농약/원주)),160, 두레생협, 밤고구마
 현미(8kg/유기),1840, 두레생협, 현미
 꽃이피는아침 주방세제 2kg,900, 자연과함께, 꽃이피는아침 주방세제 
 무농약토마토,490, 초록마을, 무농약토마토
 들깨(300g/유기),580, 두레생협, 들깨
 햇들깨(300g/무농약),500, 두레생협, 햇들깨
 무농약 수박(중/6~7kg),1270, 두레생협, 무농약 수박
 무농약 수박(소/5~6kg),1100, 두레생협, 무농약 수박
 유기농야무진알밤,650, 초록마을, 유기농야무진알밤
 무농약이상_토마토,740, 초록마을, 무농약이상토마토
 무농약이상_냉이100g,170, 초록마을, 무농약이상냉이
 무농약이상_우엉,260, 초록마을, 무농약이상우엉
 무농약이상_포항초,300, 초록마을, 무농약이상포항초
 무농약골드키위세트,2450, 초록마을, 무농약골드키위세트
 무농약이상_호박고구마,440, 초록마을, 무농약이상호박고구마
 무농약이상_달래(흙),190, 초록마을, 무농약이상달래
 무농약이상_쪽파,240, 초록마을, 무농약이상쪽파
 무농약이상_쌈배추,400, 초록마을, 무농약이상쌈배추
 무농약이상_피망,180, 초록마을, 무농약이상피망
 무농약이상_근대,140, 초록마을, 무농약이상근대
 무농약이상_미나리300g,250, 초록마을, 무농약이상미나리
 무농약이상_시금치,160, 초록마을, 무농약이상시금치
 유기농밤고구마,340, 초록마을, 유기농밤고구마
 무농약이상_감자,200, 초록마을, 무농약이상감자
 무농약이상_꽈리고추,160, 초록마을, 무농약이상꽈리고추
 가지말림대용량(500g/무농약),670, 두레생협, 가지말림대용량
 약용작물류-무화과,10, 로컬푸드 직매장, 약용작물류무화과
 약용작물류-강황,10, 로컬푸드 직매장, 약용작물류강황
 약용작물류-감초,10, 로컬푸드 직매장, 약용작물류감초
 약용작물류-전호,10, 로컬푸드 직매장, 약용작물류전호
 약용작물류-우슬,10, 로컬푸드 직매장, 약용작물류우슬
 약용작물류-산초,10, 로컬푸드 직매장, 약용작물류산초
 약용작물류-어성초,10, 로컬푸드 직매장, 약용작물류어성초
 약용작물류-삼백초,10, 로컬푸드 직매장, 약용작물류삼백초
 약용작물류-칡,10, 로컬푸드 직매장, 약용작물류칡
 약용작물류-옻,10, 로컬푸드 직매장, 약용작물류옻
 약용작물류-삼지구엽초,10, 로컬푸드 직매장, 약용작물류삼지구엽초
 약용작물류-익모초,10, 로컬푸드 직매장, 약용작물류익모초
 약용작물류-박하,10, 로컬푸드 직매장, 약용작물류박하
 약용작물류-구절초,10, 로컬푸드 직매장, 약용작물류구절초
 약용작물류-오가피,10, 로컬푸드 직매장, 약용작물류오가피
 약용작물류-두충,10, 로컬푸드 직매장, 약용작물류두충
 약용작물류-복분자,10, 로컬푸드 직매장, 약용작물류복분자
 약용작물류-오미자,10, 로컬푸드 직매장, 약용작물류오미자
 약용작물류-산수유,10, 로컬푸드 직매장, 약용작물류산수유
 약용작물류-구기자,10, 로컬푸드 직매장, 약용작물류구기자
 약용작물류-산양삼,10, 로컬푸드 직매장, 약용작물류산양삼
 약용작물류-삽주,10, 로컬푸드 직매장, 약용작물류삽주
 약용작물류-기타,10, 로컬푸드 직매장, 약용작물류기타
 난류-파피오페딜리움,10, 로컬푸드 직매장, 난류파피오페딜리움
 난류-심비디움,10, 로컬푸드 직매장, 난류심비디움
 난류-동양란,10, 로컬푸드 직매장, 난류동양란
 난류-덴파레,10, 로컬푸드 직매장, 난류덴파레
 초화류-기타,10, 로컬푸드 직매장, 초화류기타
 초화류-튜울립,10, 로컬푸드 직매장, 초화류튜울립
 초화류-채소,10, 로컬푸드 직매장, 초화류채소
 초화류-비올라,10, 로컬푸드 직매장, 초화류비올라
 초화류-아이비,10, 로컬푸드 직매장, 초화류아이비
 무농약 잣(100g),1110, 두레생협, 무농약 잣
 유기농 잣(100g),1140, 두레생협, 유기농 잣
 유기농 볶은알땅콩(200g),470, 두레생협, 유기농 볶은알땅콩
 국산 통호두(무농약/80g),470, 올가홀푸드, 국산 통호두
 무농약 조각호두(100g),850, 두레생협, 무농약 조각호두
 유기농발아현미,460, 초록마을, 유기농발아현미
 유기농발아찰현미,570, 초록마을, 유기농발아찰현미
 [친환경]블루베리(무농약/250g),490, 올가홀푸드, 블루베리
 자연벽지6002,10500, 에덴바이오벽지, 자연벽지
 자연벽지6004,10500, 에덴바이오벽지, 자연벽지
 소나무황토벽지2211,20250, 에덴바이오벽지, 소나무황토벽지
 소나무황토벽지2203,20250, 에덴바이오벽지, 소나무황토벽지
 소나무황토벽지2205,20250, 에덴바이오벽지, 소나무황토벽지
 소나무황토벽지2212,20250, 에덴바이오벽지, 소나무황토벽지
 소나무황토벽지2244,20250, 에덴바이오벽지, 소나무황토벽지
